iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
0,[-5],[-8],[-14],[3359],[[-135.]],1,16.1245154965971
1,[-8.17773438],[-4.125],[-8.125],[-9.19496536],[[-8.82641602]],1,9.112148484303798
2,[-9.19496536],[-1.95703125],[-4.8125],[-9.52787508],[[-9.40582573]],1,5.195202360204707
3,[-9.52787508],[-0.74890137],[-2.94165039],[-9.64358134],[[-9.5998607]],1,3.0354835328888745
4,[-9.64358134],[-0.08032608],[-1.88196564],[-9.68992498],[[-9.67130202]],1,1.8836790965575867
5,[-9.68992498],[0.28509343],[-1.27879024],[-9.71372301],[[-9.70333578]],1,1.3101842345295744
6,[-9.73147391],[0.67554807],[-0.58645637],[-9.75553885],[[-9.74397854]],1,0.8945927965256262
7,[-9.81640183],[0.71079754],[-0.13363754],[-9.85733703],[[-9.84909509]],1,0.7232510904390929
8,[-9.84298226],[0.36677724],[-0.49968877],[-9.86320573],[[-9.85498896]],1,0.6198503118082112
9,[-9.86320573],[0.51230804],[-0.15016073],[-9.87861779],[[-9.87211222]],1,0.5338611954624333
10,[-9.87861779],[0.30473607],[-0.34669085],[-9.89037741],[[-9.88527587]],1,0.46158272742311857
11,[-9.89902394],[0.44385226],[0.06293217],[-9.90289741],[[-9.91158427]],1,0.44829151522172567
12,[-9.90397615],[0.28154886],[-0.14284503],[-9.90697596],[[-9.90553357]],1,0.31571262888416823
13,[-9.91459512],[0.14388033],[-0.20805574],[-9.91982562],[[-9.91859442]],1,0.2529599625855612
14,[-9.9179024],[0.20999693],[-0.05589631],[-9.92042071],[[-9.91937812]],1,0.21730878844154541
15,[-9.92042071],[0.12067108],[-0.14352362],[-9.92234103],[[-9.92151948]],1,0.18751144092206737
16,[-9.92234103],[0.15289437],[-0.05462241],[-9.9238069],[[-9.92316479]],1,0.1623585434303069
17,[-9.92490947],[0.04371002],[-0.14740795],[-9.9255281],[[-9.92638695]],1,0.1537519712045075
18,[-9.92550219],[0.08532862],[-0.07166924],[-9.92587619],[[-9.92569621]],1,0.11143362420728857
19,[-9.92682961],[0.0861717],[-0.02048907],[-9.92749562],[[-9.92731995]],1,0.08857406019993258
20,[-9.92724128],[0.04768119],[-0.05950651],[-9.92755496],[[-9.92742299]],1,0.07625300338152186
21,[-9.92755496],[0.06251033],[-0.02088427],[-9.92779428],[[-9.92769071]],1,0.06590670435863324
22,[-9.92796928],[0.01569882],[-0.06243909],[-9.92804279],[[-9.92822835]],1,0.06438239745682103
23,[-9.92807102],[0.0342076],[-0.02930172],[-9.92813207],[[-9.92810272]],1,0.04504165013958331
24,[-9.92828698],[0.03540068],[-0.00735882],[-9.92839288],[[-9.92836869]],1,0.03615743412068738
25,[-9.92835431],[0.01879437],[-0.0247108],[-9.92840557],[[-9.92838443]],1,0.03104596576560779
26,[-9.92840557],[0.02558099],[-0.00791808],[-9.92844465],[[-9.92842798]],1,0.026778404316209134
27,[-9.92844465],[0.01553143],[-0.01720622],[-9.92847448],[[-9.92846144]],1,0.0231792873674513
28,[-9.92849682],[0.02192648],[0.00251219],[-9.92850883],[[-9.92852726]],1,0.022069923143745084
29,[-9.92850898],[0.01413238],[-0.00728036],[-9.92851659],[[-9.92851293]],1,0.015897414615502682
30,[-9.92853598],[0.00738744],[-0.01027804],[-9.92854947],[[-9.92854599]],1,0.012657499725157034
31,[-9.92854436],[0.01047882],[-0.00297107],[-9.92855075],[[-9.92854807]],1,0.010891871866777293
32,[-9.92855075],[0.00615786],[-0.00711635],[-9.92855562],[[-9.92855351]],1,0.009410717531712947
33,[-9.92855916],[0.00913505],[0.00143773],[-9.92856054],[[-9.9285645]],1,0.009247499676871579
34,[-9.92856125],[0.0057412],[-0.0028865],[-9.92856249],[[-9.92856189]],1,0.00642598237097778
35,[-9.92856564],[0.00289444],[-0.00428206],[-9.92856778],[[-9.92856731]],1,0.005168540886155606
36,[-9.92856701],[0.00429696],[-0.00110032],[-9.92856805],[[-9.92856763]],1,0.004435601278714373
37,[-9.92856805],[0.0024366],[-0.00294764],[-9.92856885],[[-9.92856851]],1,0.003824342196013827
38,[-9.92856885],[0.00312445],[-0.00109054],[-9.92856946],[[-9.92856919]],1,0.003309303647638989
39,[-9.92856991],[0.0008547],[-0.00305087],[-9.92857014],[[-9.92857054]],1,0.0031683312898503086
40,[-9.92857016],[0.00173168],[-0.00146459],[-9.92857031],[[-9.92857024]],1,0.0022679803055140452
41,[-9.92857071],[0.00176396],[-0.00040064],[-9.92857098],[[-9.92857091]],1,0.0018088870606909795
42,[-9.92857088],[0.00096196],[-0.00122281],[-9.92857101],[[-9.92857095]],1,0.001555842006019585
43,[-9.92857101],[0.00127785],[-0.00041577],[-9.92857111],[[-9.92857106]],1,0.0013437835697848908
44,[-9.92857118],[0.00030419],[-0.00129311],[-9.9285712],[[-9.92857129]],1,0.0013284101918333464
45,[-9.92857122],[0.00069405],[-0.00059899],[-9.92857125],[[-9.92857123]],1,0.0009167855358066221
46,[-9.92857131],[0.00072497],[-0.00014259],[-9.92857135],[[-9.92857134]],1,0.0007388621024159124
47,[-9.92857134],[0.00037881],[-0.00050808],[-9.92857136],[[-9.92857135]],1,0.0006337525805225785
48,[-9.92857136],[0.00052311],[-0.00015709],[-9.92857138],[[-9.92857137]],1,0.0005461907194826336
49,[-9.92857138],[0.00031398],[-0.00035306],[-9.92857139],[[-9.92857138]],1,0.00047248179300074354
50,[-9.9285714],[0.0004511],[5.86231927e-05],[-9.9285714],[[-9.92857141]],1,0.0004548940233577648
51,[-9.9285714],[0.00028815],[-0.00014718],[-9.92857141],[[-9.9285714]],1,0.00032355988018732093
52,[-9.92857141],[0.00014873],[-0.00021145],[-9.92857142],[[-9.92857142]],1,0.00025852208167908175
53,[-9.92857142],[0.00021436],[-5.86853389e-05],[-9.92857142],[[-9.92857142]],1,0.00022225231770321192
54,[-9.92857142],[0.0001244],[-0.0001461],[-9.92857142],[[-9.92857142]],1,0.00019188884081893916
55,[-9.92857142],[0.00018805],[3.2552003e-05],[-9.92857142],[[-9.92857143]],1,0.00019084943723628005
56,[-9.92857142],[0.00011708],[-5.8312818e-05],[-9.92857142],[[-9.92857142]],1,0.00013079738220297808
57,[-9.92857143],[5.81993935e-05],[-8.81497739e-05],[-9.92857143],[[-9.92857143]],1,0.00010562931436478257
58,[-9.92857143],[8.7937103e-05],[-2.16121017e-05],[-9.92857143],[[-9.92857143]],1,9.05539454011373e-05
59,[-9.92857143],[4.91854899e-05],[-6.05498019e-05],[-9.92857143],[[-9.92857143]],1,7.800955659465766e-05
60,[-9.92857143],[6.38569101e-05],[-2.1751667e-05],[-9.92857143],[[-9.92857143]],1,6.745991389508822e-05
61,[-9.92857143],[1.66632729e-05],[-6.31578647e-05],[-9.92857143],[[-9.92857143]],1,6.531906719674744e-05
62,[-9.92857143],[3.51401994e-05],[-2.99329266e-05],[-9.92857143],[[-9.92857143]],1,4.616073773960532e-05
63,[-9.92857143],[3.61143401e-05],[-7.81090917e-06],[-9.92857143],[[-9.92857143]],1,3.6949368876994435e-05
64,[-9.92857143],[1.94010594e-05],[-2.51330278e-05],[-9.92857143],[[-9.92857143]],1,3.175012110438768e-05
65,[-9.92857143],[2.61251681e-05],[-8.26753761e-06],[-9.92857143],[[-9.92857143]],1,2.740212740245671e-05
66,[-9.92857143],[1.59975912e-05],[-1.75269917e-05],[-9.92857143],[[-9.92857143]],1,2.3730115096431563e-05
67,[-9.92857143],[2.22910897e-05],[2.29410063e-06],[-9.92857143],[[-9.92857143]],1,2.2408828110495724e-05
68,[-9.92857143],[1.44648364e-05],[-7.4988709e-06],[-9.92857143],[[-9.92857143]],1,1.6293083119609568e-05
69,[-9.92857143],[7.63209724e-06],[-1.04489483e-05],[-9.92857143],[[-9.92857143]],1,1.2939452410963055e-05
70,[-9.92857143],[1.06987477e-05],[-3.11183586e-06],[-9.92857143],[[-9.92857143]],1,1.1142114897283209e-05
71,[-9.92857143],[6.34590728e-06],[-7.2461018e-06],[-9.92857143],[[-9.92857143]],1,9.63205743448073e-06
72,[-9.92857143],[9.28267588e-06],[1.35029179e-06],[-9.92857143],[[-9.92857143]],1,9.380370958837993e-06
73,[-9.92857143],[5.87548025e-06],[-2.97464404e-06],[-9.92857143],[[-9.92857143]],1,6.5855732690032725e-06
74,[-9.92857143],[2.99309599e-06],[-4.35125432e-06],[-9.92857143],[[-9.92857143]],1,5.281291295614836e-06
75,[-9.92857143],[4.38585174e-06],[-1.15700841e-06],[-9.92857143],[[-9.92857143]],1,4.5358972551614825e-06
